product_id,product_name,ema_number,patient_safety,authorisation_status,atc_code,additional,generic,conditional,exceptional,accelerated,orphan,authorisation_date,authorisation_holder,therapeutic_group,indication,url,dosage_form,route
18,Viread,EMEA/H/C/000419,False,Authorised,J05AF07,False,False,False,False,False,False,04/02/2002,Gilead Sciences Ireland UC,Antivirals for systemic use,"HIV 1 infectionViread 123 mg film coated tablets are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected paediatric patients, with NRTI resistance or toxicities precluding the use of first line agents, aged 6 to < 12 years who weigh from 17 kg to less than 22 kg.The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 123 mg film coated tablets are indicated for the treatment of chronic hepatitis B in paediatric patients aged 6 to < 12 years who weigh from 17 kg to less than 22 kg, withcompensated liver disease and evidence of immune active disease, i.e. active viral replication and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.HIV 1 infectionViread 163 mg film coated tablets are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected paediatric patients, with NRTI resistance or toxicities precluding the use of first line agents, aged 6 to < 12 years who weigh from 22 kg to less than 28 kg.The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 163 mg film coated tablets are indicated for the treatment of chronic hepatitis B in paediatric patients aged 6 to < 12 years who weigh from 22 kg to less than 28 kg, with:compensated liver disease and evidence of immune active disease, i.e. active viral replication and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.HIV 1 infectionViread 204 mg film coated tablets are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected paediatric patients, with NRTI resistance or toxicities precluding the use of first line agents, aged 6 to < 12 years who weigh from 28 kg to less than 35 kg.The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 204 mg film coated tablets are indicated for the treatment of chronic hepatitis B in paediatric patients aged 6 to < 12 years who weigh from 28 kg to less than 35 kg, with:compensated liver disease and evidence of immune active disease, i.e. active viral replication and persistently elevated serum ALT levels or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.HIV 1 infectionViread 245 mg film coated tablets are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected adults.In adults, the demonstration of the benefit of Viread in HIV 1 infection is based on results of one study in treatment naïve patients, including patients with a high viral load (> 100,000 copies/ml) and studies in which Viread was added to stable background therapy (mainly tritherapy) in antiretroviral pre-treated patients experiencing early virological failure (< 10,000 copies/ml, with the majority of patients having < 5,000 copies/ml).Viread 245 mg film coated tablets are also indicated for the treatment of HIV 1 infected adolescents, with NRTI resistance or toxicities precluding the use of first line agents, aged 12 to < 18 years.The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 245 mg film coated tablets are indicated for the treatment of chronic hepatitis B in adults with:compensated liver disease, with evidence of active viral replication, persistently elevated serum alanine aminotransferase (ALT) levels and histological evidence of active inflammation and/or fibrosis (see section 5.1).evidence of lamivudine resistant hepatitis B virus (see sections 4.8 and 5.1).decompensated liver disease (see sections 4.4, 4.8 and 5.1).Viread 245 mg film coated tablets are indicated for the treatment of chronic hepatitis B in adolescents 12 to < 18 years of age with:compensated liver disease and evidence of immune active disease, i.e. active viral replication and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.HIV 1 infectionViread 33 mg/g granules are indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected paediatric patients, with NRTI resistance or toxicities precluding the use of first line agents, from 2 to < 6 years of age, and above 6 years of age for whom a solid dosage form is not appropriate.Viread 33 mg/g granules are also indicated in combination with other antiretroviral medicinal products for the treatment of HIV 1 infected adults for whom a solid dosage form is not appropriate.In adults, the demonstration of the benefit of Viread in HIV 1 infection is based on results of one study in treatment naïve patients, including patients with a high viral load (> 100,000 copies/ml) and studies in which Viread was added to stable background therapy (mainly tritherapy) in antiretroviral pre-treated patients experiencing early virological failure (< 10,000 copies/ml, with the majority of patients having < 5,000 copies/ml).The choice of Viread to treat antiretroviral experienced patients with HIV 1 infection should be based on individual viral resistance testing and/or treatment history of patients.Hepatitis B infectionViread 33 mg/g granules are indicated for the treatment of chronic hepatitis B in adults for whom a solid dosage form is not appropriate with:compensated liver disease, with evidence of active viral replication, persistently elevated serum alanine aminotransferase (ALT) levels and histological evidence of active inflammation and/or fibrosis (see section 5.1).evidence of lamivudine resistant hepatitis B virus (see sections 4.8 and 5.1).decompensated liver disease (see sections 4.4, 4.8 and 5.1).Viread 33 mg/g granules are also indicated for the treatment of chronic hepatitis B in paediatric patients2 to < 18 years of age for whom a solid dosage form is not appropriate with:compensated liver disease and evidence of immune active disease, i.e. active viral replication, and persistently elevated serum ALT levels, or histological evidence of moderate to severe inflammation and/or fibrosis.  With respect to the decision to initiate treatment in paediatric patients, see sections 4.2, 4.4, 4.8 and 5.1.",https://www.ema.europa.eu/en/medicines/human/EPAR/viread,Granules,Oral
19,Quinsair,EMEA/H/C/002789,False,Authorised,J01MA12,True,False,False,False,False,False,25/03/2015,Chiesi Farmaceutici S.p.A,"Antibacterials for systemic use, ",Quinsair is indicated for the management of chronic pulmonary infections due to Pseudomonas aeruginosa in adult patients with cystic fibrosis.Consideration should be given to official guidance on the appropriate use of antibacterial agents.,https://www.ema.europa.eu/en/medicines/human/EPAR/quinsair,Nebuliser solution,Inhalation
20,Dimethyl fumarate Teva,EMEA/H/C/005963,False,Authorised,L04AX07,False,True,False,False,False,False,12/12/2022,Teva GmbH,Immunosuppressants,Dimethyl fumarate Teva is indicated for the treatment of adult and paediatric patients aged 13 years and older with relapsing remitting multiple sclerosis (RRMS).,https://www.ema.europa.eu/en/medicines/human/EPAR/dimethyl-fumarate-teva,Gastro-Resistant Hard Capsule,Oral
21,Olanzapine Glenmark Europe,EMEA/H/C/001086,False,Authorised,N05AH03,False,True,False,False,False,False,03/12/2009,Glenmark Arzneimittel GmbH,Psycholeptics,"AdultsOlanzapine is indicated for the treatment of schizophrenia.Olanzapine is effective in maintaining the clinical improvement during continuation therapy in patients who have shown an initial treatment response.Olanzapine is indicated for the treatment of moderate to severe manic episode. In patients whose manic episode has responded to olanzapine treatment, olanzapine is indicated for the prevention of recurrence in patients with bipolar disorder.",https://www.ema.europa.eu/en/medicines/human/EPAR/olanzapine-glenmark-europe,Orodispersible Tablet,Oral
22,Olanzapine Glenmark,EMEA/H/C/001085,False,Authorised,N05AH03,False,True,False,False,False,False,03/12/2009,Glenmark Arzneimittel GmbH,Psycholeptics,"AdultsOlanzapine is indicated for the treatment of schizophrenia.Olanzapine is effective in maintaining the clinical improvement during continuation therapy in patients who have shown an initial treatment response.Olanzapine is indicated for the treatment of moderate to severe manic episode. In patients whose manic episode has responded to olanzapine treatment, olanzapine is indicated for the prevention of recurrence in patients with bipolar disorder.",https://www.ema.europa.eu/en/medicines/human/EPAR/olanzapine-glenmark,Tablet,Oral
23,Simbrinza,EMEA/H/C/003698,False,Authorised,S01EC54,False,False,False,False,False,False,18/07/2014,Novartis Europharm Limited,Ophthalmologicals,Decrease of elevated intraocular pressure (IOP) in adult patients with open-angle glaucoma or ocular hypertension for whom monotherapy provides insufficient IOP reduction.,https://www.ema.europa.eu/en/medicines/human/EPAR/simbrinza,Eye drops,Ophthalmic
24,Posaconazole Accord,EMEA/H/C/005005,False,Authorised,J02AC04,False,True,False,False,False,False,25/07/2019,Accord Healthcare S.L.U.,Antimycotics for systemic use,"Posaconazole Accord is indicated for use in the treatment of the following fungal infections in adults:Invasive aspergillosis;Fusariosis in patients with disease that is refractory to amphotericin B or in patients who are intolerant of amphotericin B;Chromoblastomycosis and mycetoma in patients with disease that is refractory to itraconazole or in patients who are intolerant of itraconazole;Coccidioidomycosis in patients with disease that is refractory to amphotericin B, itraconazole or fluconazole or in patients who are intolerant of these medicinal products.Refractoriness is defined as progression of infection or failure to improve after a minimum of 7 days of prior therapeutic doses of effective antifungal therapy.Posaconazole Accord is also indicated for prophylaxis of invasive fungal infections in the following patients: Patients receiving remission-induction chemotherapy for acute myelogenous leukemia (AML) or myelodysplastic syndromes (MDS) expected to result in prolonged neutropenia and who are at high risk of developing invasive fungal infections;Hematopoietic stem cell transplant (HSCT) recipients who are undergoing high-dose immunosuppressive therapy for graft versus host disease and who are at high risk of developing invasive fungal infections.",https://www.ema.europa.eu/en/medicines/human/EPAR/posaconazole-accord,Gastro-Resistant Tablet,Oral
25,Tepmetko,EMEA/H/C/005524,False,Authorised,L01EX21,True,False,False,False,False,False,16/02/2022,Merck Europe B.V.,Antineoplastic agents,"Tepmetko as monotherapy is indicated for the treatment of adult patients with advanced non-small cell lung cancer (NSCLC) harbouring alterations leading to mesenchymal-epithelial transition factor gene exon 14 (METex14) skipping, who require systemic therapy following prior treatment with immunotherapy and/or platinum-based chemotherapy.",https://www.ema.europa.eu/en/medicines/human/EPAR/tepmetko,Tablet,Oral
26,Axumin,EMEA/H/C/004197,False,Authorised,V09IX12,False,False,False,False,False,False,21/05/2017,Blue Earth Diagnostics Ireland Ltd,Diagnostic radiopharmaceuticals,This medicinal product is for diagnostic use only.Axumin is indicated for Positron Emission Tomography (PET) imaging to detect recurrence of prostate cancer in adult men with a suspected recurrence based on elevated blood prostate specific antigen (PSA) levels after primary curative treatment.,https://www.ema.europa.eu/en/medicines/human/EPAR/axumin,Radiopharmaceutical Solution for injection,"Intravenous, Subcutaneous"
27,Ammonaps,EMEA/H/C/000219,False,Authorised,A16AX03,False,False,False,False,False,False,07/12/1999,Immedica Pharma AB,"Other alimentary tract and metabolism products, ","Ammonaps is indicated as adjunctive therapy in the chronic management of urea cycle disorders, involving deficiencies of carbamylphosphate synthetase, ornithine transcarbamylase orargininosuccinate synthetase.It is indicated in all patients with neonatal-onset presentation (complete enzyme deficiencies, presenting within the first 28 days of life). It is also indicated in patients with late-onset disease(partial enzyme deficiencies, presenting after the first month of life) who have a history of hyperammonaemic encephalopathy.",https://www.ema.europa.eu/en/medicines/human/EPAR/ammonaps,Tablet,Oral
28,Ammonaps,EMEA/H/C/000219,False,Authorised,A16AX03,False,False,False,False,False,False,07/12/1999,Immedica Pharma AB,"Other alimentary tract and metabolism products, ","Ammonaps is indicated as adjunctive therapy in the chronic management of urea cycle disorders, involving deficiencies of carbamylphosphate synthetase, ornithine transcarbamylase orargininosuccinate synthetase.It is indicated in all patients with neonatal-onset presentation (complete enzyme deficiencies, presenting within the first 28 days of life). It is also indicated in patients with late-onset disease(partial enzyme deficiencies, presenting after the first month of life) who have a history of hyperammonaemic encephalopathy.",https://www.ema.europa.eu/en/medicines/human/EPAR/ammonaps,Granules,Oral
29,Resolor,EMEA/H/C/001012,False,Authorised,A06AX05,False,False,False,False,False,False,14/10/2009,Takeda Pharmaceuticals International AG Ireland,Other drugs for constipation,Resolor is indicated for symptomatic treatment of chronic constipation in adults in whom laxatives fail to provide adequate relief.,https://www.ema.europa.eu/en/medicines/human/EPAR/resolor,Tablet,Oral
30,Vyxeos liposomal (previously known as Vyxeos),EMEA/H/C/004282,False,Authorised,L01XY01,False,False,False,False,False,True,23/08/2018,Jazz Pharmaceuticals Ireland Limited,Antineoplastic agents,"Vyxeos liposomal is indicated for the treatment of adults with newly diagnosed, therapy-related acute myeloid leukaemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC).",https://www.ema.europa.eu/en/medicines/human/EPAR/vyxeos-liposomal,Powder for concentrate for solution for infusion,Intravenous
