product_id,drug_substance,actives_by_dose,notes,fa,f,tmax,dose_value,dose_unit,pss_inchikey,pss_inchi,pss_smiles,ps_smiles,ps_num_drugs,parent_drug_id
8,FESOTERODINE FUMARATE,FESOTERODINE FUMARATE,Values refer to fesoterodine active metabolite,,0.52,5,8,MG,MWHXMIASLKXGBU-RNCYCKTQSA-N,"InChI=1S/C26H37NO3.C4H4O4/c1-18(2)26(29)30-25-13-12-21(17-28)16-24(25)23(22-10-8-7-9-11-22)14-15-27(19(3)4)20(5)6;5-3(6)1-2-4(7)8/h7-13,16,18-20,23,28H,14-15,17H2,1-6H3;1-2H,(H,5,6)(H,7,8)/b;2-1+/t23-;/m1./s1",CC(C)C(=O)OC1=C(C=C(C=C1)CO)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(=C/C(=O)O)\C(=O)O,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1.O=C(O)/C=C/C(=O)O,1,11
9,DEFERASIROX,DEFERASIROX,Film-coated tablets 36% greater bioavailability than dispersible tablets which are 70% bioavailable. No tmax for film coated tablets. Very large variability between formulations and therefore was decided not to include in modelling. ,,0.95,,360,MG,BOFQWVMAQOTZIW-UHFFFAOYSA-N,"InChI=1S/C21H15N3O4/c25-17-7-3-1-5-15(17)19-22-20(16-6-2-4-8-18(16)26)24(23-19)14-11-9-13(10-12-14)21(27)28/h1-12,25-26H,(H,27,28)",C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1,12
10,DEFERASIROX,DEFERASIROX,bioavailability of deferasirox granules was 52% greater than that with dispersible tablets (which is 70%). Very large variability between formulations and therefore was decided not to include in modelling. ,,1,,360,MG,BOFQWVMAQOTZIW-UHFFFAOYSA-N,"InChI=1S/C21H15N3O4/c25-17-7-3-1-5-15(17)19-22-20(16-6-2-4-8-18(16)26)24(23-19)14-11-9-13(10-12-14)21(27)28/h1-12,25-26H,(H,27,28)",C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1,12
11,TACROLIMUS MONOHYDRATE,TACROLIMUS,,,,,1,MG PER G,NWJQLQGQZSIBAF-MLAUYUEBSA-N,"InChI=1S/C44H69NO12.H2O/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7;/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3;1H2/b25-19+,27-21+;/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+;/m0./s1",C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC.O,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1,13
12,TACROLIMUS MONOHYDRATE,TACROLIMUS,High inter-individual variability. Tmax is for immediate release capsule.,,0.225,2,5,MG,NWJQLQGQZSIBAF-MLAUYUEBSA-N,"InChI=1S/C44H69NO12.H2O/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7;/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3;1H2/b25-19+,27-21+;/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+;/m0./s1",C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC.O,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,1,13
13,PREGABALIN,PREGABALIN,,1,0.9,1,300,MG,AYXYPKUFHZROOJ-ZETCQYMHSA-N,"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1",CC(C)C[C@@H](CC(=O)O)CN,CC(C)C[C@H](CN)CC(=O)O,1,7
14,IBANDRONATE SODIUM MONOHYDRATE,IBANDRONIC ACID,,,,,1,MG PER ML,VBDRTGFACFYFCT-UHFFFAOYSA-M,"InChI=1S/C9H23NO7P2.Na.H2O/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17;;/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17);;1H2/q;+1;/p-1",CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-].O.[Na+],CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],1,14
15,IBANDRONATE SODIUM MONOHYDRATE,IBANDRONIC ACID,,,,,1,MG PER ML,VBDRTGFACFYFCT-UHFFFAOYSA-M,"InChI=1S/C9H23NO7P2.Na.H2O/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17;;/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17);;1H2/q;+1;/p-1",CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-].O.[Na+],CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],1,14
16,ACLIDINIUM BROMIDE,ACLIDINIUM BROMIDE,,,,,0.4,MG,XLAKJQPTOJHYDR-QTQXQZBYSA-M,"InChI=1S/C26H30NO4S2.BrH/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21;/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2;1H/q+1;/p-1/t20?,22-,27?;/m0./s1",C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-],O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1.[Br-],1,9
17,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL,Fasted state. Kinetic parameters refer to tenofovir,,0.25,1,245,MG,VCMJCVGFSROFHV-WZGZYPNHSA-N,"InChI=1S/C19H30N5O10P.C4H4O4/c1-12(2)33-18(25)28-9-31-35(27,32-10-29-19(26)34-13(3)4)11-30-14(5)6-24-8-23-15-16(20)21-7-22-17(15)24;5-3(6)1-2-4(7)8/h7-8,12-14H,6,9-11H2,1-5H3,(H2,20,21,22);1-2H,(H,5,6)(H,7,8)/b;2-1+/t14-;/m1./s1",C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=C/C(=O)O)\C(=O)O,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C.O=C(O)/C=C/C(=O)O,1,15
18,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL,Fasted state. Kinetic parameters refer to tenofovir,,0.25,1,33,MG PER G,VCMJCVGFSROFHV-WZGZYPNHSA-N,"InChI=1S/C19H30N5O10P.C4H4O4/c1-12(2)33-18(25)28-9-31-35(27,32-10-29-19(26)34-13(3)4)11-30-14(5)6-24-8-23-15-16(20)21-7-22-17(15)24;5-3(6)1-2-4(7)8/h7-8,12-14H,6,9-11H2,1-5H3,(H2,20,21,22);1-2H,(H,5,6)(H,7,8)/b;2-1+/t14-;/m1./s1",C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=C/C(=O)O)\C(=O)O,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C.O=C(O)/C=C/C(=O)O,1,15
19,LEVOFLOXACIN HEMIHYDRATE,LEVOFLOXACIN,,,,,100,MG PER ML,SUIQUYDRLGGZOL-RCWTXCDDSA-N,"InChI=1S/2C18H20FN3O4.H2O/c2*1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21;/h2*7-8,10H,3-6,9H2,1-2H3,(H,24,25);1H2/t2*10-;/m00./s1",C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O.O,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,1,16
20,DIMETHYL FUMARATE,DIMETHYL FUMARATE,These tmax figures refer to monomethyl fumarate as dimethyl fumarate is extensively transformed presystemically. Can be inferred from data that most of the dose is absorbed orally.,1,,2.25,240,MG,LDCRTTXIJACKKU-ONEGZZNKSA-N,"InChI=1S/C6H8O4/c1-9-5(7)3-4-6(8)10-2/h3-4H,1-2H3/b4-3+",COC(=O)/C=C/C(=O)OC,COC(=O)/C=C/C(=O)OC,1,17
21,OLANZAPINE,OLANZAPINE,Well Absorbed after oral administration,,,6.5,20,MG,KVWDHTXUZHCGIO-UHFFFAOYSA-N,"InChI=1S/C17H20N4S/c1-12-11-13-16(21-9-7-20(2)8-10-21)18-14-5-3-4-6-15(14)19-17(13)22-12/h3-6,11,19H,7-10H2,1-2H3",CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,1,18
22,OLANZAPINE,OLANZAPINE,Well Absorbed after oral administration,,,6.5,20,MG,KVWDHTXUZHCGIO-UHFFFAOYSA-N,"InChI=1S/C17H20N4S/c1-12-11-13-16(21-9-7-20(2)8-10-21)18-14-5-3-4-6-15(14)19-17(13)22-12/h3-6,11,19H,7-10H2,1-2H3",CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,1,18
23,BRINZOLAMIDE,BRINZOLAMIDE,,,,,10,MG PER ML,HCRKCZRJWPKOAR-JTQLQIEISA-N,"InChI=1S/C12H21N3O5S3/c1-3-14-10-8-15(5-4-6-20-2)23(18,19)12-9(10)7-11(21-12)22(13,16)17/h7,10,14H,3-6,8H2,1-2H3,(H2,13,16,17)/t10-/m0/s1",CCN[C@H]1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,1,19
23,BRIMONIDINE TARTRATE, BRIMONIDINE TARTRATE,,,,,2,MG PER ML,QZHBYNSSDLTCRG-LREBCSMRSA-N,"InChI=1S/C11H10BrN5.C4H6O6/c12-9-7(17-11-15-5-6-16-11)1-2-8-10(9)14-4-3-13-8;5-1(3(7)8)2(6)4(9)10/h1-4H,5-6H2,(H2,15,16,17);1-2,5-6H,(H,7,8)(H,9,10)/t;1-,2-/m.1/s1",C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,Brc1c(NC2=NCCN2)ccc2nccnc12.O=C(O)[C@H](O)[C@@H](O)C(=O)O,1,20
24,POSACONAZOLE,POSACONAZOLE,,,,4.5,100,MG,RAGOYPUPXAKGKH-XAKZXMRKSA-N,"InChI=1S/C37H42F2N8O4/c1-3-35(26(2)48)47-36(49)46(25-42-47)31-7-5-29(6-8-31)43-14-16-44(17-15-43)30-9-11-32(12-10-30)50-20-27-19-37(51-21-27,22-45-24-40-23-41-45)33-13-4-28(38)18-34(33)39/h4-13,18,23-27,35,48H,3,14-17,19-22H2,1-2H3/t26-,27+,35-,37-/m0/s1",CC[C@@H]([C@H](C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5C[C@](OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,1,21
25,TEPOTINIB HYDROCHLORIDE MONOHYDRATE,TEPOTINIB,,,0.716,8,225,MG,KZVOMLRKFJUTLK-UHFFFAOYSA-N,"InChI=1S/C29H28N6O2.ClH.H2O/c1-34-12-10-21(11-13-34)20-37-26-17-31-29(32-18-26)25-7-3-5-23(15-25)19-35-28(36)9-8-27(33-35)24-6-2-4-22(14-24)16-30;;/h2-9,14-15,17-18,21H,10-13,19-20H2,1H3;1H;1H2",CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N.O.Cl,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1.Cl,1,22
26,FLUCICLOVINE (18F),FLUCICLOVINE (18F),,,,,1600,MBQ PER ML,NTEDWGYJNHZKQW-DGMDOPGDNA-N,"InChI=1/C5H8FNO2/c6-3-1-5(7,2-3)4(8)9/h3H,1-2,7H2,(H,8,9)/t3-,5-/i6-1",C(O)(=O)[C@@]1(N)C[C@@H]([18F])C1,N[C@]1(C(=O)O)C[C@@H]([18F])C1,1,23
27,SODIUM PHENYLBUTYRATE,SODIUM PHENYLBUTYRATE,80-100% excreted in urine,1,,1,500,MG,VPZRWNZGLKXFOE-UHFFFAOYSA-M,"InChI=1S/C10H12O2.Na/c11-10(12)8-4-7-9-5-2-1-3-6-9;/h1-3,5-6H,4,7-8H2,(H,11,12);/q;+1/p-1",C1=CC=C(C=C1)CCCC(=O)[O-].[Na+],O=C([O-])CCCc1ccccc1.[Na+],1,24
28,SODIUM PHENYLBUTYRATE,SODIUM PHENYLBUTYRATE,80-100% excreted in urine,1,,1,940,MG PER G,VPZRWNZGLKXFOE-UHFFFAOYSA-M,"InChI=1S/C10H12O2.Na/c11-10(12)8-4-7-9-5-2-1-3-6-9;/h1-3,5-6H,4,7-8H2,(H,11,12);/q;+1/p-1",C1=CC=C(C=C1)CCCC(=O)[O-].[Na+],O=C([O-])CCCc1ccccc1.[Na+],1,24
29,PRUCALOPRIDE SUCCINATE,PRUCALOPRIDE,Fa inferred. Bioavailability is at least 90%,0.95,0.9,2.5,2,MG,QZRSNVSQLGRAID-UHFFFAOYSA-N,"InChI=1S/C18H26ClN3O3.C4H6O4/c1-24-9-2-6-22-7-3-12(4-8-22)21-18(23)14-11-15(19)16(20)13-5-10-25-17(13)14;5-3(6)1-2-4(7)8/h11-12H,2-10,20H2,1H3,(H,21,23);1-2H2,(H,5,6)(H,7,8)",COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl.C(CC(=O)O)C(=O)O,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1.O=C(O)CCC(=O)O,1,25
30,DAUNORUBICIN,DAUNORUBICIN,,,,,44,MG,STQGQHZAVUOBTE-VGBVRHCVSA-N,"InChI=1S/C27H29NO10/c1-10-22(30)14(28)7-17(37-10)38-16-9-27(35,11(2)29)8-13-19(16)26(34)21-20(24(13)32)23(31)12-5-4-6-15(36-3)18(12)25(21)33/h4-6,10,14,16-17,22,30,32,34-35H,7-9,28H2,1-3H3/t10-,14-,16-,17-,22+,27-/m0/s1",C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1,26
30,CYTARABINE, CYTARABINE,,,,,100,MG,UHDGCWIWMRVCDJ-CCXZUQQUSA-N,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7+,8-/m1/s1",C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,1,27
31,IMATINIB MESILATE,IMATINIB,,1,0.98,,400,MG,YLMAHDNUQAMNNX-UHFFFAOYSA-N,"InChI=1S/C29H31N7O.CH4O3S/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36;1-5(2,3)4/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34);1H3,(H,2,3,4)",CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1,28
32,REPAGLINIDE,REPAGLINIDE,,1,0.63,1,2,MG,FAEKWTJYAYMJKF-QHCPKHFHSA-N,"InChI=1S/C27H36N2O4/c1-4-33-25-17-20(12-13-22(25)27(31)32)18-26(30)28-23(16-19(2)3)21-10-6-7-11-24(21)29-14-8-5-9-15-29/h6-7,10-13,17,19,23H,4-5,8-9,14-16,18H2,1-3H3,(H,28,30)(H,31,32)/t23-/m0/s1",CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,1,30
